STATUS,SYMBOL,RATING,CURRENT_PNL,MAX_PNL,MC_MULTIPLE,ENTRY_MC,CURRENT_MC,HIGH_MC,T1_HIT,T2_HIT,T3_HIT,T4_HIT,ENTRY_TIME,AGE_HOURS,LP_LOCKED,HAS_TWITTER,SAFETY,BUY_PRESSURE,RECOVERING,TREND,ENTRY_REASON,ENTRY_FLAGS,BUYS_5M,SELLS_5M,VOL_DIR,POS_PCT,REALIZED_PNL,EXIT_REASON,TARGET_1,TARGET_2,TARGET_3,TARGET_4,ADDRESS,CHART_URL
WIN,Goyim,C,+50%,+50%,1.5x,$31K,$47K,$47K,no,no,no,no,2026-02-01 16:02,2.3h,no,no,50,1.8x,YES,-,MC $31K | EARLY | dip recovery | buy pressure 1.8x,EARLY | RECOVERING,165,94,UP,0%,+30%,fully exited (step TP),$100K,$150K,$250K,$500K,9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,https://dexscreener.com/solana/9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump
WIN,McChicken,C,+32%,+32%,1.3x,$48K,$64K,$64K,no,no,no,no,2026-02-01 16:02,2.3h,no,no,50,1.4x,YES,-,MC $48K | EARLY | momentum,EARLY | RECOVERING,587,456,UP,0%,+32%,fully exited (step TP),$100K,$150K,$250K,$500K,5gyK3LtZitSjxh377JjT8kiUP6hA5o6fJizGCNqZpump,https://dexscreener.com/solana/5gyK3LtZitSjxh377JjT8kiUP6hA5o6fJizGCNqZpump
WIN,PEACE,B,+37%,+37%,1.4x,$38K,$52K,$52K,no,no,no,no,2026-02-01 16:12,2.1h,no,no,50,1.8x,YES,-,MC $38K | EARLY | dip recovery | buy pressure 1.8x,EARLY | RECOVERING,21,8,UP,0%,+25%,fully exited (step TP),$100K,$150K,$250K,$500K,73qWYYtJCNmbPbQuVMyAMPXH7Kmmx6okupT8J2W4pump,https://dexscreener.com/solana/73qWYYtJCNmbPbQuVMyAMPXH7Kmmx6okupT8J2W4pump
OPEN (!!),TLL,C,-87%,+6%,1.1x,$49K,$6K,$52K,no,no,no,no,2026-02-01 16:12,2.1h,no,no,50,1.7x,YES,-,MC $49K | EARLY | momentum | buy pressure 1.7x,EARLY | RECOVERING,1,2,DOWN,75%,+1%,partial TP 5%,$100K,$150K,$250K,$500K,6vTC3AsD6yduKyoSbsERxCuWRu8s4x3RKmqHQd9spump,https://dexscreener.com/solana/6vTC3AsD6yduKyoSbsERxCuWRu8s4x3RKmqHQd9spump
WIN,GATODONATO,C,+34%,+34%,1.3x,$31K,$42K,$42K,no,no,no,no,2026-02-01 16:28,1.9h,no,no,50,1.4x,YES,-,MC $31K | EARLY | dip recovery,EARLY | RECOVERING,120,74,UP,0%,+25%,fully exited (step TP),$100K,$150K,$250K,$500K,7BvQEURrRH4YNkjWnwazkK8xA3GjpztfhtXjQXnbpump,https://dexscreener.com/solana/7BvQEURrRH4YNkjWnwazkK8xA3GjpztfhtXjQXnbpump
LOSS,BOB,A,-91%,+23%,1.2x,$53K,$5K,$65K,no,no,no,no,2026-02-01 16:38,1.7h,no,no,50,1.3x,YES,ai,MC $53K | momentum,RECOVERING,50,86,DOWN,25%,+14%,down >90%,$150K,$200K,$300K,$500K,AKPdwihQvNgMimVixpKK6pyYoedNqrbynZTrCjRfpump,https://dexscreener.com/solana/AKPdwihQvNgMimVixpKK6pyYoedNqrbynZTrCjRfpump
OPEN (!!),KYVER,C,-85%,+16%,1.2x,$23K,$4K,$27K,no,no,no,no,2026-02-01 17:09,1.2h,no,no,50,1.3x,YES,-,MC $23K | EARLY | dip recovery,EARLY | RECOVERING,6,2,UP,50%,+5%,partial TP 10%,$100K,$150K,$250K,$500K,6XBEjcM9zp6H94ranXnXDuz6zFxo2yGTmZwsZ7hFpump,https://dexscreener.com/solana/6XBEjcM9zp6H94ranXnXDuz6zFxo2yGTmZwsZ7hFpump
OPEN (!!),clawchat,C,-43%,+8%,1.1x,$26K,$15K,$28K,no,no,no,no,2026-02-01 17:55,0.4h,no,no,50,1.6x,YES,-,MC $26K | EARLY | dip recovery | buy pressure 1.6x,EARLY | RECOVERING,57,22,UP,75%,+2%,partial TP 5%,$100K,$150K,$250K,$500K,CLQm78bZDUERKzk8xfoEFG9je6MMXSm6BToWUzdopump,https://dexscreener.com/solana/CLQm78bZDUERKzk8xfoEFG9je6MMXSm6BToWUzdopump
WIN,CLAWNET,C,+30%,+30%,1.3x,$37K,$48K,$48K,no,no,no,no,2026-02-01 18:10,0.1h,no,no,50,1.0x,YES,-,MC $37K | EARLY | dip recovery,EARLY | RECOVERING,104,87,UP,0%,+21%,fully exited (step TP),$100K,$150K,$250K,$500K,5adkc2jvJomhoLmyCwdy1qWk6SaBpGyxuahX6XjSpump,https://dexscreener.com/solana/5adkc2jvJomhoLmyCwdy1qWk6SaBpGyxuahX6XjSpump
OPEN (!!),ShibaClawd,B,-22%,+2%,1.0x,$45K,$35K,$46K,no,no,no,no,2026-02-01 18:15,0.1h,no,no,50,1.1x,YES,shib,MC $45K | EARLY | momentum,EARLY | RECOVERING,161,102,UP,100%,+0%,-,$100K,$150K,$250K,$500K,ATQBwmf4uAjpuCRBqEmJwx4aQ1bibkwnEbbXTaZJpump,https://dexscreener.com/solana/ATQBwmf4uAjpuCRBqEmJwx4aQ1bibkwnEbbXTaZJpump
